0,1
eat great food,7.793089220531392e-08
good good,7.80777351200261e-08
excellent service food,7.811426014936565e-08
delicious food,7.816995085446239e-08
service friendly staff,7.847847026871811e-08
excellent good food,7.874557010889896e-08
food good atmosphere,7.908196057286885e-08
place delicious food,7.961803536921941e-08
fast food good,7.978670851083617e-08
clean good food,8.000213767238228e-08
food nice service,8.043392943020032e-08
food awesome service,8.143553833744462e-08
great service excellent,8.27131117065859e-08
good food amazing,8.334284942381852e-08
drinks great food,8.503166420524207e-08
great food clean,8.511256831302523e-08
food amazing service,8.526196925845655e-08
place great,8.788537649090973e-08
great good place,8.79001534856087e-08
time great service,8.801825564331354e-08
experience great food,8.969975069164002e-08
order good food,9.108638598077772e-08
friendly great service,9.245267444938445e-08
great delicious food,9.308868697931569e-08
fresh food great,9.324947735068339e-08
staff great place,9.460849122585618e-08
great time great,9.463580965931828e-08
good pizza great,9.519276528419306e-08
great food drinks,9.586903317257683e-08
awesome good food,9.620621002303252e-08
good time great,9.659194027519975e-08
food quick service,9.7533619112584e-08
service food great,9.766692923244298e-08
order great food,9.796335567215941e-08
drinks good food,9.84815638584622e-08
place excellent food,9.865445406402142e-08
service good prices,1.0053179218624905e-07
food good staff,1.0156090368793628e-07
super good food,1.0277649137567089e-07
great burgers great,1.0377540945430874e-07
service great staff,1.0404787690780577e-07
amazing food good,1.0417856177977315e-07
service awesome food,1.0513692636102926e-07
fast good food,1.0576377639808514e-07
great place love,1.0581312775805115e-07
mexican food great,1.0646262035022081e-07
awesome food good,1.0658138953532031e-07
fast great food,1.067549932154791e-07
food nice staff,1.0775651997781275e-07
food great friendly,1.0935693056727168e-07
service,1.0978109326788722e-07
fast food,1.1056064302209687e-07
great prices good,1.1152242411965536e-07
good people good,1.1158354272135046e-07
great food prices,1.1227327107454022e-07
good food prices,1.1282917629632763e-07
love love love,1.1434747062458193e-07
delicious great place,1.1452431236988337e-07
food great beer,1.147330937897123e-07
menu great food,1.1518796352700501e-07
great drinks great,1.1539820336946522e-07
back great service,1.1570311704104225e-07
fast food great,1.1575842637823033e-07
great fast service,1.166906802249162e-07
friendly service,1.1680072040533854e-07
good food quick,1.1699394284917533e-07
great service amazing,1.194831124614738e-07
good service original,1.21058411170958e-07
great great,1.2223537054878508e-07
staff good service,1.2249628609720036e-07
fresh food good,1.238033288444343e-07
fast food restaurant,1.2416899234829508e-07
prices great service,1.2515611299564956e-07
tacos good food,1.2554096691610624e-07
place good place,1.2607961300186395e-07
sacramento great food,1.2630850769283175e-07
burgers good food,1.2714832493983653e-07
food tastes great,1.2743172931720123e-07
service nice place,1.278493145857903e-07
back great place,1.2787956653584415e-07
service great prices,1.2860077665608028e-07
great pizza good,1.291120264774113e-07
food great burgers,1.323040804858518e-07
great friendly staff,1.3267152258196351e-07
location good food,1.3323315907598786e-07
good food foods,1.341915822146155e-07
good drinks good,1.3466174748100285e-07
great quality food,1.3495731850353708e-07
clean great food,1.3540635867981286e-07
prices good service,1.3541016906719258e-07
great service fast,1.369048138071851e-07
tacos great food,1.372390715324762e-07
place good,1.3729676460514292e-07
friendly good service,1.3772322426568725e-07
service great pizza,1.386234310544255e-07
wait great food,1.4066409581187962e-07
burger great food,1.407043395643186e-07
excellent food,1.408053987005104e-07
great atmosphere good,1.4123282793521573e-07
good service excellent,1.4249721719396014e-07
great food fresh,1.4298253193771457e-07
great good,1.4314513257275532e-07
great food wonderful,1.4375849335430935e-07
great food super,1.4408144655949195e-07
experience good food,1.4453608887180378e-07
friendly great place,1.4461688356356234e-07
good food fresh,1.450267566463373e-07
service great customer,1.4553692016625247e-07
food good beer,1.4613160435768771e-07
atmosphere great service,1.4665235401396482e-07
fresh great food,1.468998615798437e-07
fresh good food,1.471285936991828e-07
menu good food,1.4714433981040406e-07
food good portions,1.472335930012426e-07
great time food,1.4758162398150262e-07
pizza great service,1.485251047011702e-07
service great atmosphere,1.4935147709397643e-07
recommend great food,1.499956676444293e-07
service fresh food,1.512152353706967e-07
great place service,1.5184377968011895e-07
friendly customer service,1.5209229918808423e-07
place amazing food,1.5303939241932638e-07
food great pizza,1.5469292608776192e-07
good service delicious,1.5482460468192595e-07
great service awesome,1.551014747192109e-07
time great place,1.561188010377729e-07
good food drinks,1.569028305541601e-07
food pretty good,1.5716207265437817e-07
pizza great food,1.5772612071693372e-07
good food decent,1.5796997573131432e-07
great tasting food,1.5972820736074765e-07
service fast service,1.6159045796804187e-07
great service clean,1.6337964908111918e-07
location great food,1.651337809725823e-07
spot great food,1.6584080254127624e-07
amazing great service,1.6727635744606327e-07
food great location,1.6736531855329286e-07
service great great,1.680389968886177e-07
food slow service,1.6911605491744203e-07
nice great service,1.6974226076545026e-07
chicken good food,1.7011124342350492e-07
area great food,1.7034204491653664e-07
good service clean,1.715623557169447e-07
tasty food good,1.7219688837017532e-07
great food atmosphere,1.7243027881679516e-07
food service food,1.7384773191921457e-07
great excellent food,1.7420780850351226e-07
nice food good,1.7494434156111094e-07
good atmosphere good,1.7605979301782162e-07
good service foods,1.7652148436370052e-07
place,1.7665627668836182e-07
good time good,1.7734681963285983e-07
food bad service,1.7909742724351074e-07
food nice people,1.808426323454005e-07
good drinks great,1.820752481367777e-07
place great staff,1.8226047574392884e-07
good burgers good,1.8310320450665386e-07
good great good,1.841903570003147e-07
area good food,1.8579056068717882e-07
friendly staff,1.8582781933537972e-07
tasty food great,1.85944608824907e-07
amazing food,1.859533664427517e-07
place food,1.859852817898556e-07
mexican food good,1.8691418678144445e-07
great coffee great,1.8705343456918458e-07
delicious food friendly,1.873062448087575e-07
good food lots,1.8804066640785342e-07
good hot food,1.8940522524546087e-07
good food super,1.895358672122762e-07
town great food,1.9048168944786368e-07
wait good food,1.912707782117484e-07
great experience great,1.9249392111131652e-07
clean good service,1.9260302198411712e-07
good staff good,1.9405590303463877e-07
love great food,1.9418072406877965e-07
drinks great service,1.9446129843297326e-07
good food bad,1.9454817150059125e-07
great place friendly,1.959325519248264e-07
great food quick,1.982855469758544e-07
great burgers good,1.9965430227074056e-07
food delicious great,2.0119167831013388e-07
food great time,2.012476690656854e-07
good food reasonable,2.0305143415139377e-07
lunch good food,2.0331873701566695e-07
good people great,2.0344481876560305e-07
good food slow,2.0443483522371405e-07
time good service,2.0494050693062535e-07
fast service,2.0523157124906477e-07
great amazing food,2.0541849041741018e-07
good service fast,2.0574778529580708e-07
great customer,2.059207897718814e-07
beer good food,2.0608303178648268e-07
recommend good food,2.0653745840686527e-07
fries great food,2.0821560604402905e-07
delicious good service,2.094685828049587e-07
nice food great,2.1028216872475125e-07
pretty good service,2.1030244708187437e-07
great beer great,2.1054309394127717e-07
service great burgers,2.1106069279985671e-07
chicken great food,2.1113649610189512e-07
pizza good food,2.1153384723022792e-07
great staff,2.131826813643241e-07
portions great food,2.1320395731659004e-07
sacramento good food,2.137284769398922e-07
people great service,2.1384566153065702e-07
amazing food service,2.1395928134669284e-07
food love,2.1453754259831963e-07
food foods good,2.1470653154338483e-07
service tasty food,2.161406417692589e-07
good food large,2.1637262025176276e-07
portions good food,2.1641564272471805e-07
place food good,2.1673824241191138e-07
beer great food,2.1769869078047973e-07
food tastes good,2.1917786845452908e-07
food friendly,2.19718000795766e-07
good food customer,2.1996396271319734e-07
service excellent service,2.2039720578621028e-07
food good times,2.2060607883137263e-07
nice staff great,2.2090033237011236e-07
food good location,2.2121732072994214e-07
service good pizza,2.2224950046315183e-07
atmosphere good service,2.237449397988209e-07
quick service good,2.2409944709304809e-07
food place,2.242566213639414e-07
bad customer service,2.2484619746814198e-07
food good friendly,2.250626548850689e-07
bar good food,2.2518686947649877e-07
awesome service great,2.259086696997202e-07
great food fun,2.265273626496318e-07
great food foods,2.2678773035204596e-07
awesome great service,2.283911825535633e-07
restaurant great service,2.2922188539220671e-07
nice staff good,2.2935954029206218e-07
great service staff,2.2937827409220816e-07
google good place,2.2991196145063748e-07
fast food service,2.3111031132262696e-07
quick service great,2.3169607721762034e-07
good burgers great,2.3355786303369646e-07
great place nice,2.33603048185642e-07
lunch great food,2.3401075408353465e-07
great location great,2.3424581886841322e-07
service great people,2.3470865289950158e-07
good chinese food,2.347996571412108e-07
meal great food,2.3600554353385777e-07
yummy good food,2.370240837031042e-07
place awesome food,2.3703036571562208e-07
